period_end	destination_metro	destination_metro_name	origin_metro	origin_metro_name	net_inflow	inflow_share	outflow_share	total_users	share	net_searches
2025-12-01	35620	New York-Newark-Jersey City, NY-NJ-PA	26420	Houston-The Woodlands-Sugar Land, TX	-460	0.31	0.41	295000	0.31	-380
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	38060	Phoenix-Mesa-Chandler, AZ	14820	71.42	28.58	98000	100.00	0
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	31080	Los Angeles-Long Beach-Anaheim, CA	5820	5.94	1.42	98000	5.94	4820
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	41860	San Francisco-Oakland-Berkeley, CA	2140	2.18	0.61	98000	2.18	1820
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	16980	Chicago-Naperville-Elgin, IL-IN-WI	1620	1.65	0.48	98000	1.65	1380
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	35620	New York-Newark-Jersey City, NY-NJ-PA	1280	1.31	0.42	98000	1.31	1080
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	41740	San Diego-Chula Vista-Carlsbad, CA	980	1.00	0.32	98000	1.00	820
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	19820	Detroit-Warren-Dearborn, MI	720	0.73	0.22	98000	0.73	612
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	14460	Boston-Cambridge-Newton, MA-NH	612	0.62	0.18	98000	0.62	520
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	42660	Seattle-Tacoma-Bellevue, WA	548	0.56	0.21	98000	0.56	465
2025-12-01	38060	Phoenix-Mesa-Chandler, AZ	33460	Minneapolis-St. Paul-Bloomington, MN-WI	412	0.42	0.15	98000	0.42	352
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	33100	Miami-Fort Lauderdale-Pompano Beach, FL	18620	66.42	33.58	165000	100.00	0
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	35620	New York-Newark-Jersey City, NY-NJ-PA	4820	2.92	0.98	165000	2.92	3980
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	14460	Boston-Cambridge-Newton, MA-NH	1820	1.10	0.42	165000	1.10	1520
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	16980	Chicago-Naperville-Elgin, IL-IN-WI	1480	0.90	0.38	165000	0.90	1240
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	37980	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	1280	0.78	0.31	165000	0.78	1080
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	47900	Washington-Arlington-Alexandria, DC-VA-MD-WV	980	0.59	0.27	165000	0.59	820
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	12580	Baltimore-Columbia-Towson, MD	720	0.44	0.19	165000	0.44	612
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	19820	Detroit-Warren-Dearborn, MI	612	0.37	0.15	165000	0.37	520
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	36740	Orlando-Kissimmee-Sanford, FL	548	0.33	0.18	165000	0.33	465
2025-12-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	17460	Cleveland-Elyria, OH	412	0.25	0.11	165000	0.25	352
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	19100	Dallas-Fort Worth-Arlington, TX	9820	62.18	37.82	178000	100.00	0
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	31080	Los Angeles-Long Beach-Anaheim, CA	2120	1.19	0.32	178000	1.19	1820
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	16980	Chicago-Naperville-Elgin, IL-IN-WI	1480	0.83	0.28	178000	0.83	1240
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	35620	New York-Newark-Jersey City, NY-NJ-PA	1280	0.72	0.25	178000	0.72	1080
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	26420	Houston-The Woodlands-Sugar Land, TX	980	0.55	0.42	178000	0.55	820
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	12420	Austin-Round Rock-Georgetown, TX	820	0.46	0.61	178000	0.46	680
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	41860	San Francisco-Oakland-Berkeley, CA	720	0.40	0.18	178000	0.40	612
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	38060	Phoenix-Mesa-Chandler, AZ	612	0.34	0.21	178000	0.34	520
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	19820	Detroit-Warren-Dearborn, MI	548	0.31	0.14	178000	0.31	465
2025-12-01	19100	Dallas-Fort Worth-Arlington, TX	17460	Cleveland-Elyria, OH	412	0.23	0.09	178000	0.23	352
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	12060	Atlanta-Sandy Springs-Alpharetta, GA	8120	57.98	42.02	139000	100.00	0
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	35620	New York-Newark-Jersey City, NY-NJ-PA	2042	1.47	0.61	139000	1.47	1780
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	16980	Chicago-Naperville-Elgin, IL-IN-WI	1280	0.92	0.40	139000	0.92	1080
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	31080	Los Angeles-Long Beach-Anaheim, CA	942	0.68	0.21	139000	0.68	788
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	19820	Detroit-Warren-Dearborn, MI	598	0.43	0.17	139000	0.43	482
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	33100	Miami-Fort Lauderdale-Pompano Beach, FL	520	0.37	0.26	139000	0.37	418
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	38060	Phoenix-Mesa-Chandler, AZ	398	0.29	0.14	139000	0.29	320
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	26420	Houston-The Woodlands-Sugar Land, TX	365	0.26	0.20	139000	0.26	295
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	19100	Dallas-Fort Worth-Arlington, TX	342	0.25	0.18	139000	0.25	278
2025-11-01	12060	Atlanta-Sandy Springs-Alpharetta, GA	17460	Cleveland-Elyria, OH	288	0.21	0.09	139000	0.21	232
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	35620	New York-Newark-Jersey City, NY-NJ-PA	-12120	38.41	61.59	289000	100.00	0
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	33100	Miami-Fort Lauderdale-Pompano Beach, FL	-3020	2.08	2.83	289000	2.08	-2480
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	37980	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	-2180	1.49	2.05	289000	1.49	-1780
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	14460	Boston-Cambridge-Newton, MA-NH	-1820	1.25	1.69	289000	1.25	-1460
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	12060	Atlanta-Sandy Springs-Alpharetta, GA	-1380	0.94	1.43	289000	0.94	-1140
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	16980	Chicago-Naperville-Elgin, IL-IN-WI	-1042	0.72	0.93	289000	0.72	-848
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	38060	Phoenix-Mesa-Chandler, AZ	-798	0.55	0.72	289000	0.55	-660
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	19100	Dallas-Fort Worth-Arlington, TX	-665	0.45	0.60	289000	0.45	-548
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	36740	Orlando-Kissimmee-Sanford, FL	-525	0.36	0.48	289000	0.36	-428
2025-11-01	35620	New York-Newark-Jersey City, NY-NJ-PA	26420	Houston-The Woodlands-Sugar Land, TX	-448	0.30	0.40	289000	0.30	-365
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	38060	Phoenix-Mesa-Chandler, AZ	14420	71.18	28.82	95000	100.00	0
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	31080	Los Angeles-Long Beach-Anaheim, CA	5680	5.88	1.40	95000	5.88	4680
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	41860	San Francisco-Oakland-Berkeley, CA	2080	2.16	0.60	95000	2.16	1780
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	16980	Chicago-Naperville-Elgin, IL-IN-WI	1580	1.62	0.47	95000	1.62	1340
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	35620	New York-Newark-Jersey City, NY-NJ-PA	1248	1.29	0.41	95000	1.29	1042
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	41740	San Diego-Chula Vista-Carlsbad, CA	955	0.98	0.31	95000	0.98	798
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	19820	Detroit-Warren-Dearborn, MI	698	0.71	0.21	95000	0.71	595
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	14460	Boston-Cambridge-Newton, MA-NH	595	0.61	0.18	95000	0.61	502
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	42660	Seattle-Tacoma-Bellevue, WA	532	0.55	0.20	95000	0.55	452
2025-11-01	38060	Phoenix-Mesa-Chandler, AZ	33460	Minneapolis-St. Paul-Bloomington, MN-WI	398	0.41	0.15	95000	0.41	340
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	33100	Miami-Fort Lauderdale-Pompano Beach, FL	18120	66.18	33.82	161000	100.00	0
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	35620	New York-Newark-Jersey City, NY-NJ-PA	4720	2.90	0.97	161000	2.90	3880
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	14460	Boston-Cambridge-Newton, MA-NH	1780	1.09	0.42	161000	1.09	1480
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	16980	Chicago-Naperville-Elgin, IL-IN-WI	1448	0.89	0.37	161000	0.89	1212
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	37980	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	1248	0.77	0.30	161000	0.77	1042
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	47900	Washington-Arlington-Alexandria, DC-VA-MD-WV	955	0.58	0.27	161000	0.58	798
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	12580	Baltimore-Columbia-Towson, MD	698	0.43	0.18	161000	0.43	595
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	19820	Detroit-Warren-Dearborn, MI	595	0.36	0.15	161000	0.36	502
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	36740	Orlando-Kissimmee-Sanford, FL	532	0.32	0.18	161000	0.32	452
2025-11-01	33100	Miami-Fort Lauderdale-Pompano Beach, FL	17460	Cleveland-Elyria, OH	398	0.24	0.11	161000	0.24	340
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	19100	Dallas-Fort Worth-Arlington, TX	9520	61.98	38.02	174000	100.00	0
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	31080	Los Angeles-Long Beach-Anaheim, CA	2080	1.18	0.31	174000	1.18	1780
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	16980	Chicago-Naperville-Elgin, IL-IN-WI	1448	0.82	0.27	174000	0.82	1212
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	35620	New York-Newark-Jersey City, NY-NJ-PA	1248	0.71	0.24	174000	0.71	1042
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	26420	Houston-The Woodlands-Sugar Land, TX	955	0.54	0.41	174000	0.54	798
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	12420	Austin-Round Rock-Georgetown, TX	798	0.45	0.60	174000	0.45	665
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	41860	San Francisco-Oakland-Berkeley, CA	698	0.39	0.18	174000	0.39	595
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	38060	Phoenix-Mesa-Chandler, AZ	595	0.33	0.20	174000	0.33	502
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	19820	Detroit-Warren-Dearborn, MI	532	0.30	0.13	174000	0.30	452
2025-11-01	19100	Dallas-Fort Worth-Arlington, TX	17460	Cleveland-Elyria, OH	398	0.22	0.09	174000	0.22	340
